,content,score,content_clean
336,"Aplikasi yang sangat bagus , dapat digunakan untuk mengisi waktu luang , untuk melihat2 foto , mencari informasi dan bahkan juga juga bisa digunakan sebagai lapak jual beli sesuatu dengan mudah dan efisien . Sangat rekomended",5,aplikasi bagus isi luang foto cari informasi lapak jual beli mudah efisien rekomended
59,"setiap abis update story dengan musik pasti enah kapan musiknya bakal diapus dan story yg memakai musik tersebut menjadi jelek, kenapa harus dihapus²? musik yg tersedia juga tidak lengkap, dan sekarang bertambah lgi masalah ny, mshl kmrn blm selesai udh muncul lgi yg baru, sg temen ga bisa di repost lah, ngbug pula, dan msh bnyk yg laen, gaada mau perkembangan kah?",2,habis update story musik enah musik diapus story pakai musik jelek hapus musik sedia lengkap tambah ny mshl kemarin selesai muncul sg temen repost ngbug kembang kah
81,"Ini knp update baru bikin setiap buat sg nyari musik malah ga ada semua lagu yg diinginkan. Tolong dong dibantu saya gasuka fiturnya seperti ini, mana sorotan yg biasanya akun online nongol skrg ga ada lagi. Pliss lah jan kek gini bikin saya kecewa",1,update bikin sg nyari musik lagu tolong bantu suka fiturnya sorot akun online nongol pliss jan bikin kecewa
121,"Saya sedang liat reels belom sampai selesai nontonnya & belom saya scroll ke bawah tiba2 keluar sendiri, itu sebelum diupdate... Saya coba update tapi hasil masih sama .... gimana dong biar bisa lita reels kayak dulu lagi... jadi agak kecewa....",1,lihat reels bom selesai nontonnya bom scroll diupdate coba update hasil biar lita reels kecewa
135,"ini gimana setiap kali saya masuk ke fiitur video reel kok lansung keluar dari instagram, terus kayak ada semacam info instagram selalu berhenti, tapi ketika nonton video reel yang saya simpan atu cuma scroll scroll biasa di beranda aman gak ada masalah, kasusnya cuma di bagian vitur reel aja. udah berbagai cara saya lakukin seperti mengahpus change bahkan menghapus data juga tapi tetap aja. aplikasi udah saya update ke versi terbaru juga tetap aja gak bisa. tolong dibantu🙏",1,kali masuk fiitur video reel lansung instagram informasi instagram henti nonton video reel simpan satu scroll scroll beranda aman kasus vitur reel lakukin mengahpus change hapus data aplikasi update versi baru tolong bantu
238,"Bagaimana pembaruan otomatis di halaman utama tidak terkendali, lebih banyak konten yang sudah berlalu dan tidak real time, scrol lihat konten kembali ke halaman awal dan pembaruan isi dari timeline cepat berubah.",5,baru otomatis halaman utama kendali konten real scrol lihat konten halaman baru isi timeline cepat ubah
140,"Awalnya bagus, tapi lama kelamaa minta update mulu baru juga 1 bulan lalu di update ini minta update lagi, terus banyak banget konten2 kek di tiktok bosen banget liatnya dikit2 org joget terus yg lewat reels aduhh. Kebanyakan iklan aplikasi gak jelas, bikin penggunaan data lebih banyak krn kebanyakan iklan gak jelas setelah di update malah banyak bug makin jelek",1,bagus kelamaa update mulu update update banget konten tiktok bosen banget lihat orang joget reels aduhh banyak iklan aplikasi bikin guna data banyak iklan update bug jelek
155,suara audio di reels yg sudah di-posting tiba-tiba banyak yang tidak tersedia... sayang banget udah upload enggak ada musik nya... jadi engga seruuu..jadi malas upload lagi..,1,suara audio reels diposting tibatiba sedia sayang banget upload musik nya seruuujadi malas upload
364,"Sangat bagus untuk di gunakan dan memudahkan komunikasi lebih jauh , bisa di pake buat video dan apa lgi banyak efek efek terbaru ,saya sering gunakan efek",5,bagus mudah komunikasi pakai video efek efek baru efek
35,"Untuk Aplikasinya bagus, tapi kenapa ketika selesai saya update setiap membuat story foto selalu lemot dan kadang menghilang sedangkan membuat story video aman"" saja. Pliss semoga aplikasi Instagram kedepannya lebih bagus lagi dan ada perbaikan. Terimakasih",5,aplikasi bagus selesai update story foto lot kadang hilang story video aman pliss moga aplikasi instagram depan bagus baik terimakasih
163,Apk tak dapat digunakan. Saat daftar dia bilang : halaman ini ........ Mohon muat ulang. Saya sudah mencoba dengan tutorial di youtube dan tetap sama saja. Dan berkali kali dan tak ada hasil sama sekali. Mohon untuk segera memperbaiki nya. 😓,1,apk daftar bilang halaman mohon muat ulang coba tutorial youtube kali kali hasil mohon baik nya
147,"Kok saya dibilang keluar dr akun sampek 3 kali ya, padahal sy tidak melakukannya. Untung nyoba login lg dg menulis password bisa. Ini ngelag atau gimana ya, sy kira bug tp ternyata blm ada opsi update lagi di playstore ini",3,bilang akun sampek kali ya laku untung nyoba login tulis password ngelag ya bug opsi update playstore
171,"Awal nya sih bagus, tapi ko lama kelamaan jadi gajelas gini Instagram dimulai dari gabisa unfoll/follow akun, setiap bikin postingan lebih dari 2 foto musiknya ga muncul",2,nya sih bagus ko instagram unfollfollow akun bikin postingan foto musik muncul
489,"Makin ribet,mau follow sponsor cepat di tag foto tapi enggak terlihat follow,harus di buka akun satu"" buat mengikuti,ribet banget buat yg mau ikutan giveaway,dulu mudah kalo sponsor di foto tinggal klik Sampek bawah udah follow, sekarang malah harus buka profil satu"" buat follow,capek kenapa sih Instagram malah bukan makin maju malah bikin ribet . tolong Dong mudahkan dan perbaiki",1,ribetmau follow sponsor cepat tag foto followharus buka akun mengikutiribet banget ikut giveawaydulu mudah sponsor foto tinggal klik sampek follow buka profil followcapek sih instagram maju bikin ribet tolong mudah baik
353,"banyak banget bug sama error sumpah, suka ada hal yang ilang mkstnya apa, ntar ada ntar gaada gitu anjer sebal, bio suka ga bisa di ganti, pfp loding gantinya lama bat bisa seabad, tp sy suka apk ini jd tak kasi 4 bintang Perbaiki dong pls ig jangan bug mlu",4,banget bug error sumpah suka hilang mkstnya anjer sebal bio suka ganti pfp loding ganti bat abad suka apk kasih bintang baik pulsa ig bug mlu
257,"Kenapa di akun pertama tidak bisa menggunakan sound postingan feed foto dgn 2 atau lebih slide foto, sedangkan di akun kedua atau lainnya di device yg sama bisa menggunakannya, tolong dong di perbaikannya!!",1,akun sound postingan feed foto slide foto akun device guna tolong baik
493,"Ayolah perbaiki lagiii!!!!. Udah dari dulu belum diperbaiki. Jadi, saat gw mau upload foto berlagu di story masa durasinya dipotong jadi 5 atau 10 detik, ga adil dong. Jadi MOHON DIPERBAIKI LAGIII KEDEPANNYA OKEE?",2,ayo baik lagiii baik upload foto lagu story durasi potong detik adil mohon baik lagiii depan okee
350,"Aplikasi ini bagus banget multifungsi banget,, informasi,, edukasi,banyak filter2 bagus,, dan bisa pake musik. Dan saya juga bisa berjualan lewat Instagram ini",5,aplikasi bagus banget multifungsi banget informasi edukasibanyak filter bagus pakai musik jual instagram
150,"Terdapat bug yang sangat meresahkan saat bergonta ganti akun, disaat diminta memasukan password, password yang diisi salah.. padahal sudah pas dengan password yang ada. Tapi ketika saya coba ketik ulang password nya untuk melakukan reset sandi, password yang saya ketik benar 100% dan diterima oleh sistem, tapi ketika saya mencoba login memakai passsord yang sama malah sistem berkata bahwa password tidak sesuai. Ini sangat menyulitkan sekali untuk gonta ganti akun, tolong diperbaiki secepatnya.",1,bug resah bergonta ganti akun saat masuk password password isi salah pas password coba ketik ulang password nya reset sandi password ketik terima sistem coba login pakai passsord sistem password sesuai sulit gonta ganti akun tolong baik cepat
93,"kenapa reels yg lewat di story skrng tdk bisa di klik lagi?harus menonton semua reels yg berbeda,tdk sesuai dg reels yg disarankan tdi,kecewa dg update an nya. serta terdapat bug pd akun Instagram bila di tag oleh teman di story,tdk bisa 1× klik dg mode layar penuh Tolong di perbaiki ya Instagram🙏 jngn smpe saya beralih ke apk yg lain",1,reels story klik lagiharus tonton reels berbedatdk sesuai reels saran tdikecewa update an nya bug pd akun instagram tag teman storytdk klik mode layar penuh tolong baik ya instagram jngn alih apk
297,"Ini instagram saya kalau mau upload story gak bisa pakek musik dan kata-kata secara bersamaan, dia tidak akan terpost ke story itu gmn ya?? Masa kalau mau pakek kedua nya digabungkan tidak bisa. Tolong dong perbaikan nya instagram",2,instagram upload story pakai musik katakata sama terpost story ya pakai nya gabung tolong baik nya instagram
338,Sngat suka dengan aplikasi instagram ini karena semakin kesini semakin banyak yg baru dan bikin penasaran. Mungkinn sedikit kritikan kalo bisa di blokir saja iklan iklan yg berbau judi online karena sangat mengganggu kenyamanan saat menggunakan aplikasi instagram ini. Sudah bosen dengan gangguan gangguan iklan judi online ug sering muncul di halaman beranda ataupun di story jika bisa di tindak lanjuti. Karna tujuan saya menggunakan instagram adalah untuk mencari tahu informasi dan menambah teman,5,suka aplikasi instagram kesini bikin penasaran mungkinn kritik blokir iklan iklan bau judi online ganggu nyaman aplikasi instagram bosen ganggu ganggu iklan judi online ug muncul halaman beranda story tindak lanjut tuju instagram cari informasi tambah teman
318,"Plisss semua komen terbaru sama sesuai seperti yang saya alami,apalagi pas buka foto/video untuk story malah jadi bug hitam gajelas pesan² hilang gitu aja aneh banget bikin kecewa tolong segera perbaiki",1,plisss komen baru sesuai alamiapalagi pas buka fotovideo story bug hitam pesan hilang aneh banget bikin kecewa tolong baik
453,"Ini kenapa yaa kok Instagram saya gabisa di update padahal ruang penyimpanan masih banyak dan memadai untuk update, jaringan juga bagus buat download yang lain lancar semua. Kenapa ini sebel banget gabisa di-update",1,yaa instagram update ruang simpan pada update jaring bagus download lancar sebel banget diupdate
162,"Pengaturan akun instagram membingungkan, isinya juga berantakan bikin pusing, tolong lebih dirapikan dan konsisten untuk pengelompokan pengaturannya, fitur untuk melihat nama pengguna sebelumnya sudah tidak ada, padahal sangat berguna",3,atur akun instagram bingung isi beranta bikin pusing tolong rapi konsisten kelompok atur fitur nama guna guna
311,"Dari awal download aplikasi ini saya tdk bs memperkecil ukuran foto sekecil²nya untuk diupload, sll sj foto terpotong, makanya saya jarang main aplikasi ini,bagi saya aplikasi ini kurang menarik, apalagi kalau saya mau upload video udah pasti tu berasa video zoom semua",1,download aplikasi kecil ukur foto kecil nya diupload sll foto potong jarang main aplikasi inibagi aplikasi tarik upload video asa video zoom
103,"Bagusan ig versi sebelumnya yg terbaru ga bgt... Susah buat bikin edit story real semua di persulit... Tolong di perbaiki template huruf juga sedikit berubah... Saya biasa edit"" story cantik + lagu menjadi sulit",1,bagus ig versi baru banget susah bikin edit story real sulit tolong baik template huruf ubah edit story cantik lagu sulit
479,"Aneh banget sumpah sama instagram. Saya punya 2 akun, akun utama saya tidak bisa pakai music untuk postingan, dan tampilan nya masih versi lama (padahal sudah update ke versi terbaru). Sedangkan akun ke 2 saya tampilannya beda jauh dengan akun pertama. Bisa pakai music juga untuk postingan. Sudah saya setting², uninstal lalu instal lagi tetap saja. Bener bener gatau lagi. Apa perlu saya hapus akun utama terus bikin baru agar dapat versi terbaru?",1,aneh banget sumpah instagram akun akun utama pakai musik postingan tampil nya versi update versi baru akun tampil beda akun pakai musik postingan setting uninstal instal bener bener tau hapus akun utama bikin versi baru
471,"Untuk fitur before after nya kemarin ada ini sudah hilang kenapa sih Instagram? Pas mau dipakai malah hilang. Gak dibutuhin kemarin ada, giliran pas mau dipakai fiturnya hilang. Tolong diperbaiki. Kalau soal update, apps Instagram di hp saya udah saya update dan tetap juga gak ada fitur before after nya. Tolong diperbaiki dan ditingkatkan lagi sistemnya biar gak hilang². Terima kasih.",5,fitur nya kemarin hilang sih instagram pas pakai hilang dibutuhin kemarin gilir pas pakai fiturnya hilang tolong baik update apps instagram hp update fitur nya tolong baik tingkat sistem biar hilang terima kasih
309,"Jangan mau update, lebih enak Instagram versi lama menurutku, apalagi untuk ngedit foto yang mau di story malah jadi makin ha berguna",2,update enak instagram versi turut edit foto story ha guna
326,"hei ig kenapa instagram reels saya mendadak dipenuhi vidio"" meme indonesia. padahal saya sudah membangun algoritma reels saya agar di penuhi meme dari luar. mohon kembalikan seperti semula, aku mulai merasa bosan dengan isi reels yang entah mengapa bisa berubah serandom ini, sungguh menyebalkan.",2,hei ig instagram reels dadak penuh video meme indonesia bangun algoritma reels penuh meme mohon kembali bosan isi reels ubah serandom sungguh sebal
426,"kenapa sekarang instagram banyak bug nya, akun saya selalu keluar sendiri padahal gada yg ngubah sandi. dibuat login lagi emng bisa tp sela beberapa jam keluar lagi dengan sendirinya. udh coba berkali kali uninstal, update, ubah kata sandi, ganti username, tapi tetap saja selalu log out dengan sendirinya. tolong diperbaiki lagi ya??!!",3,instagram bug nya akun ubah sandi login emang jam coba kali kali uninstal update ubah sandi ganti username log out tolong baik ya
216,"cukup heran dengan aplikasi Instagram ini, kenapa minim banget fiturnya. Contoh saja fitur mengedit komentar tidak bisa, memberi react postingan atau komentar juga tidak bisa. Halooo ini Instagram meta loh buka Instagram lite. Masa Instagram meta kalah sama YouTube yang notabene nya cuma aplikasi menonton video, tapi fiturnya lebih lengkap dan simpel.",2,heran aplikasi instagram minim banget fiturnya contoh fitur edit komentar react postingan komentar halooo instagram meta loh buka instagram lite instagram meta kalah youtube notabene nya aplikasi tonton video fiturnya lengkap simpel
447,Ini Instagram kenapa dah jdi jelek begini...saat mau bikin story pke lagu...eh malah lagu tdk tersedia...diulang ulang ttp ga bisa bener2 kecewa sama Instagram gak jelas bgt,1,instagram jelek beginisaat bikin story pakai lagueh lagu tersediadiulang ulang ttp bener kecewa instagram banget
159,"Setelah di update langsung bug, loading nya lama, padahal wifi full dan kuota juga penuh, tapi pas di buka langsung hitam layarnya proses nya gak bisa, ih nyesel banget di update, suka banget sama aplikasinya plis ya mohon pihak Instagram untuk meng operasikan kembali Instagram agar pengguna juga nyaman menggunakannya. Karna di Instagram semua berada di sana plis lahh kembalikan Instagram biar gak ngebug, sumpah gak nyaman banget gak bisa buka Instagram 😭😭😭😭😭😭",3,update langsung bug loading nya wifi full kuota penuh pas buka langsung hitam layar proses nya ih sesal banget update suka banget aplikasi mohon ya mohon instagram meng operasi instagram guna nyaman guna instagram mohon lahh kembali instagram biar ngebug sumpah nyaman banget buka instagram
451,Bagi pengguna aplikasi ini harus hati2 terutama bagi para camaba jika ada tugas membuat vidio twibon kreatif.karna aplikasi ini jika kau mengambil background dari google dan idak bisa diedit/diubah dan masang foto kalian selama ada tulisan nama orang lain di background maka itu termasuk penipuan diaplikasi ini meskipun tidak ada kata yg menipu dan keterangan kalian dipostingan.meskipun kalian bukan penipu seperti saya.😓😓😓,1,guna aplikasi hati camaba tugas video twibon kreatifkarna aplikasi kau ambil background google idak dieditdiubah pasang foto tulis nama orang background tipu aplikasi tipu terang dipostinganmeskipun tipu
53,"Kurang bagus nih setelah update makin payah,terutama untuk fitur musiknya masa banyak lagu yang tidak bisa terbaca bahkan lagu indonesia sendiri banyak yang tidak bisa terbaca? aplikasi instagram makin kesini makin payah,coba perbaiki lagi deh lebih rutin!",1,bagus nih update payahterutama fitur musik lagu baca lagu indonesia baca aplikasi instagram kesini payahcoba baik deh rutin
355,Aplikasi apaan ini?? Makin kesini makin kesono... Makin jelek aja fiturnya. Saat bikin reels dan disimpan musiknya hilang. Huft. Mending pake aplikasi lain aja dah...,1,aplikasi kesini kesana jelek fiturnya bikin reels simpan musik hilang huft mending pakai aplikasi
100,Instagram parah banget koq klo ada postingan kita yg tidak sesuai langsung di take down. Padahal cuma informasi bukan tindak kekerasan atau lainnya Dan klo kita mau save video sebelum di posting koq musiknya gak bisa ikut di save. Jauh banget sama TikTok. TikTok lebih keren,1,instagram parah banget koq postingan sesuai langsung take down informasi tindak keras save video posting koq musik save banget tiktok tiktok keren
421,"Semakin lama instagram tidak jelas, waktu saya mau posting foto dan musik di SG ternyata tidak bisa dan sekarang postingan yg kebaikan aja dilarang gimana sih nih harus nya bisa di perbaiki dong aplikasinya",1,instagram posting foto musik sg postingan baik larang sih nih nya baik aplikasi
154,"banyak banget bug nya,susah juga nyari musik yang diinginkan.gak kayak dulu,skrg makin kesini makin menurun kualitasnya trus banyak banget video2 yg ga ramah buat ditonton",1,banget bug nyasusah nyari musik diinginkangak duluskrg kesini turun kualitas banget video ramah tonton
283,Aplikasi ini sangat mengesankan. Antarmukanya yg intuitif membuatnya mudah di gunakan.. Dan fiturnya yang kaya memberikan pengalaman yg luar biasa. Saya khususnya suka bagaimana aplikasi ini menjaga segala hal tetap Ter organisir dengan baik.,5,aplikasi kesan antarmuka intuitif buat mudah fiturnya kaya alam suka aplikasi jaga ter organisir
419,"Gatau sekarang ig gimana, akun saya dibatasi gabisa follow orang. Sekali di follow malah ter unfoll sendiri, udah dilaporkan berapa kali gaada perubahan. Padahal saya nge follback orang sehari paling 2 dan ga pernah pakai trick penambah followers. Bikin story yang ada musik nya juga gabisa disimpan ke galeri, karna musiknya hilang. Tolong dong diperbaiki, saya gabisa tenang akun saya begini. Terimakasih",3,tau ig akun batas follow orang follow ter unfoll lapor kali ubah nge follow back orang hari pakai trick tambah followers bikin story musik nya simpan galeri musik hilang tolong baik tenang akun terimakasih
401,"Makin kesini instagram makin gk jelas fitur musiknya aja kalo nyari lagu indonesia selalu tidak ditemukan,coba perbaikin dulu bug""nya biar gk ada yg kecewa dengan aplikasi instagram 🇮🇩🇦🇪",1,kesini instagram fitur musik nyari lagu indonesia ditemukancoba perbaikin bugnya biar kecewa aplikasi instagram
126,"Lumayan Kecewa.....karna mau buat story pake musik eh musik yg dicari sering kali Tidak ketemu kebanyakan lagu baratnya,,belum lagi iklannya banyak,vidio dan reels yg Tidak berfaedah dan tidak mendidik . padahal paling jarang like atau nonton Vidio gituan tapi malah makin banyak seliweran di beranda...",1,lumayan kecewakarna story pakai musik eh musik cari kali ketemu banyak lagu baratnyabelum iklan banyakvidio reels faedah didik jarang like nonton video begitu seliwer beranda
79,"sangat tidak ramah, lagu luar sering tak bisa di pakai untuk story dan feed/sound ilang, seringnya postingan di take down padahal tidak membawa energi negatif dan satu lagi, filter nya udh gabisa di pake 😌😫 kenapa sii ig ga jelas bgt",1,ramah lagu pakai story feedsound hilang postingan take down bawa energi negatif filter nya pakai sii ig banget
408,"Kecewa dan gak nyaman lagi ig sekarang kwalitasnya kurang di pantau, masak udah apload video bagus ada music nya selang berapa hari sudah hilang suaranya di cari di pencarian gak muncul",1,kecewa nyaman ig kwalitasnya pantau masak apload video bagus musik nya selang hilang suara cari cari muncul
376,"gak ngerti lagi deh sama Instagram, kenapa makin kesini makin kacau. mau pilih lagu gak bisa, filter pada ilang, ditambah lemot banget kalo mau log in. padahal hp aman2 aja",1,ngerti deh instagram kesini kacau pilih lagu filter hilang tambah lot banget log in hp aman
51,"Gimana sih Instagram save foto yang dikasi musik di IG story gak bisa hanya bisa kalo tanpa musik 😒, banyak lagu juga yg gak bisa kebaca, akhir akhir ini juga upload foto sama video lama banngeet lagi 🙄. Cobalah diperbaiki viturnya...",1,sih instagram save foto kasih musik ig story musik lagu baca upload foto video banngeet coba baik viturnya
415,"Buruk aplikasi nya , terlalu banyak postingan yang kena filter. Bikin reel saja pakai musik juga dipilih pilih",1,buruk aplikasi nya postingan kena filter bikin reel pakai musik pilih pilih
363,"Bener² kecewa sama Instagram. Gk bisa bikin story pake musik, dan pas dicari dipenyimpanan musiknya pada ilang😭 Tolong dong kedepannya perbaiki lagi",1,bener kecewa instagram bikin story pakai musik pas cari simpan musik hilang tolong depan baik
82,"kecewa sy sm instagram skrng, suka nge bug setiap bikin story, udah ga bisa lagi bikin story, suka ngbleng²gitu, pokok ny sy kecewa bgt sm apk inii, klo kluar story suka keluar konten²yang ga bnrr, tolong ya di prbaikii lebih bagus lagii!!!",1,kecewa instagram suka nge bug bikin story bikin story suka ngbleng gitu pokok ny kecewa banget apk ini story suka konten yang bnrr tolong ya prbaikii bagus lagi
146,Kualitas instagram makin buruk. Algoritmanya makin kacau. Musik sering ndak muncul. Video sering macet ndak bisa ditonton. Makin banyak fitur yg aneh dan ndak diperlukan,1,kualitas instagram buruk algoritmanya kacau musik muncul video macet tonton fitur aneh
172,"Video dulu pake musik, pas sekarang di buka musiknya sudah tidak ada tidak bisa diputar dengan musiknya. Kan kaya hambar liat videonya",1,video pakai musik pas buka musik putar musik kaya hambar lihat video
185,"Gatau pas updet Bln apa tiba"" efek tidak muncul... Dikira karena jaringan, ternyata bukan. Udah di uninstall sampe restart hp jg masih ga muncul efek/filternya .. 😣😣",1,tau pas updet efek muncul jaring uninstall restart hp muncul efekfilternya
101,"Instagram sekarang semakin sensitif,mohon di maksimal kan dengan konten yg ada. Dan untuk musik pada postingan unggahan video terkadang tiba² tidak bersuara.",1,instagram sensitifmohon maksimal konten musik postingan unggah video terkadang tiba suara
